0,0,0
0.01,0,-0.17334
0.02,0,-0.34668
0.03,0,-0.52002
0.04,0,-0.69336
0.05,0,-0.8667
0.06,0,-1.04
0.07,0,-1.2134
0.08,0,-1.3867
0.09,0,-1.5601
0.1,0,-1.7334
0.11,0,-1.9067
0.12,0,-2.0801
0.13,0,-2.2534
0.14,0,-2.4268
0.15,0,-2.6001
0.16,0,-2.7735
0.17,0,-2.9468
0.18,0,-3.1201
0.19,0,-3.2935
0.2,0,-3.4668
0.21,0,-3.6402
0.22,0,-3.8135
0.23,0,-3.9868
0.24,0,-4.1602
0.25,0,-4.3335
0.26,0,-4.1059
0.27,0,-3.8783
0.28,0,-3.6508
0.29,0,-3.4232
0.3,0,-3.1956
0.31,0,-2.968
0.32,0,-2.7404
0.33,0,-2.5128
0.34,0,-2.2852
0.35,0,-2.0577
0.36,0,-1.8301
0.37,0,-1.6025
0.38,0,-1.3749
0.39,0,-1.1473
0.4,0,-0.91972
0.41,0,-0.69214
0.42,0,-0.46455
0.43,0,-0.23697
0.44,0,-0.009379
0.45,0,0.21821
0.46,0,0.44579
0.47,0,0.67338
0.48,0,0.90097
0.49,0,1.1286
0.5,0,1.3561
0.51,-0.18269,1.4037
0.52,-0.36538,1.4512
0.53,-0.54807,1.4987
0.54,-0.73075,1.5462
0.55,-0.91344,1.5938
0.56,-1.0961,1.6413
0.57,-1.2788,1.6888
0.58,-1.4615,1.7363
0.59,-1.6442,1.7839
0.6,-1.8269,1.8314
0.61,-2.0096,1.8789
0.62,-2.1923,1.9265
0.63,-2.3749,1.974
0.64,-2.5576,2.0215
0.65,-2.7403,2.069
0.66,-2.923,2.1166
0.67,-3.1057,2.1641
0.68,-3.2884,2.2116
0.69,-3.4711,2.2591
0.7,-3.6538,2.3067
0.71,-3.8365,2.3542
0.72,-4.0191,2.4017
0.73,-4.2018,2.4492
0.74,-4.3845,2.4968
0.75,-4.5672,2.5443
0.76,-4.5672,2.5675
0.77,-4.5672,2.5908
0.78,-4.5672,2.614
0.79,-4.5672,2.6373
0.8,-4.5672,2.6605
0.81,-4.5672,2.6837
0.82,-4.5672,2.707
0.83,-4.5672,2.7302
0.84,-4.5672,2.7535
0.85,-4.5672,2.7767
0.86,-4.5672,2.7999
0.87,-4.5672,2.8232
0.88,-4.5672,2.8464
0.89,-4.5672,2.8697
0.9,-4.5672,2.8929
0.91,-4.5672,2.9161
0.92,-4.5672,2.9394
0.93,-4.5672,2.9626
0.94,-4.5672,2.9859
